FID;Area;MUNCod;NOMMun;ZAT;UTAM
189;427222,911819999980000;11001,000000000000000;Bogotá;634,000000000000000;UTAM39
190;315707,571325999980000;11001,000000000000000;Bogotá;979,000000000000000;UTAM54
191;438011,165943000000000;11001,000000000000000;Bogotá;677,000000000000000;UTAM62
192;346955,554649000000000;11001,000000000000000;Bogotá;709,000000000000000;UTAM67
193;298253,467756000000000;11001,000000000000000;Bogotá;710,000000000000000;UTAM67
194;614845,608672000000000;11001,000000000000000;Bogotá;502,000000000000000;UTAM38
195;233827,971379000000000;11001,000000000000000;Bogotá;437,000000000000000;UTAM38
196;360270,398343999990000;11001,000000000000000;Bogotá;436,000000000000000;UTAM37
197;283982,784389999990000;11001,000000000000000;Bogotá;431,000000000000000;UTAM40
198;323731,430105999990000;11001,000000000000000;Bogotá;435,000000000000000;UTAM37
199;197800,526910999990000;11001,000000000000000;Bogotá;430,000000000000000;UTAM40
200;135341,469320000000000;11001,000000000000000;Bogotá;587,000000000000000;UTAM39
201;350732,356638000000000;11001,000000000000000;Bogotá;588,000000000000000;UTAM39
202;123362,301156999990000;11001,000000000000000;Bogotá;586,000000000000000;UTAM39
203;196987,633838000010000;11001,000000000000000;Bogotá;975,000000000000000;UTAM36
204;286517,661719000030000;11001,000000000000000;Bogotá;637,000000000000000;UTAM53
205;266165,174470000030000;11001,000000000000000;Bogotá;609,000000000000000;UTAM36
206;415384,861877000020000;11001,000000000000000;Bogotá;655,000000000000000;UTAM53
207;112055,890183000000000;11001,000000000000000;Bogotá;977,000000000000000;UTAM53
208;235052,581442000000000;11001,000000000000000;Bogotá;636,000000000000000;UTAM53
209;468704,479039000000000;11001,000000000000000;Bogotá;654,000000000000000;UTAM54
210;196717,273594000000000;11001,000000000000000;Bogotá;678,000000000000000;UTAM62
211;480679,281695000010000;11001,000000000000000;Bogotá;614,000000000000000;UTAM39
212;303593,530183000020000;11001,000000000000000;Bogotá;613,000000000000000;UTAM39
213;201795,348040000010000;11001,000000000000000;Bogotá;982,000000000000000;UTAM39
214;315396,659905000010000;11001,000000000000000;Bogotá;591,000000000000000;UTAM36
215;401839,346202999990000;11001,000000000000000;Bogotá;590,000000000000000;UTAM36
216;431725,032203999990000;11001,000000000000000;Bogotá;592,000000000000000;UTAM36
217;373776,260423999980000;11001,000000000000000;Bogotá;615,000000000000000;UTAM39
218;324897,379736999980000;11001,000000000000000;Bogotá;616,000000000000000;UTAM42
219;372595,307537999990000;11001,000000000000000;Bogotá;576,000000000000000;UTAM42
220;233082,662821000010000;11001,000000000000000;Bogotá;617,000000000000000;UTAM42
221;347850,242185999990000;11001,000000000000000;Bogotá;574,000000000000000;UTAM42
222;220723,643963000010000;11001,000000000000000;Bogotá;584,000000000000000;UTAM39
223;130322,835213000000000;11001,000000000000000;Bogotá;581,000000000000000;UTAM38
224;280704,728074999990000;11001,000000000000000;Bogotá;582,000000000000000;UTAM38
225;208378,353570000010000;11001,000000000000000;Bogotá;504,000000000000000;UTAM38
226;529374,136451000000000;11001,000000000000000;Bogotá;593,000000000000000;UTAM34
227;98079,415007500007000;11001,000000000000000;Bogotá;505,000000000000000;UTAM40
228;196354,000452000010000;11001,000000000000000;Bogotá;583,000000000000000;UTAM39
229;715144,289467999940000;11001,000000000000000;Bogotá;755,000000000000000;UTAM58
230;524409,024220000020000;11001,000000000000000;Bogotá;760,000000000000000;UTAM59
231;658863,409022000040000;11001,000000000000000;Bogotá;702,000000000000000;UTAM56
232;128417,848245000000000;11001,000000000000000;Bogotá;684,000000000000000;UTAM55
233;833214,156469000040000;11001,000000000000000;Bogotá;682,000000000000000;UTAM55
234;776750,366206999980000;11001,000000000000000;Bogotá;745,000000000000000;UTAM57
235;374671,490533999980000;11001,000000000000000;Bogotá;743,000000000000000;UTAM57
236;604748,160214000030000;11001,000000000000000;Bogotá;732,000000000000000;UTAM57
237;535721,943944000060000;11001,000000000000000;Bogotá;731,000000000000000;UTAM56
238;416563,658230000000000;11001,000000000000000;Bogotá;703,000000000000000;UTAM56
239;728760,276203999990000;11001,000000000000000;Bogotá;689,000000000000000;UTAM51
240;412004,391157999980000;11001,000000000000000;Bogotá;650,000000000000000;UTAM50
241;718386,937724999970000;11001,000000000000000;Bogotá;705,000000000000000;UTAM63
242;328603,816418999980000;11001,000000000000000;Bogotá;639,000000000000000;UTAM34
243;108710,522330000010000;11001,000000000000000;Bogotá;970,000000000000000;UTAM34
244;82678,315931799996000;11001,000000000000000;Bogotá;594,000000000000000;UTAM34
245;292346,616327999970000;11001,000000000000000;Bogotá;595,000000000000000;UTAM34
246;842795,456113999940000;11001,000000000000000;Bogotá;720,000000000000000;UTAM67
247;379330,875719000000000;11001,000000000000000;Bogotá;727,000000000000000;UTAM68
248;619224,178832000010000;11001,000000000000000;Bogotá;715,000000000000000;UTAM67
249;297697,117142000000000;11001,000000000000000;Bogotá;728,000000000000000;UTAM68
250;570573,890447000040000;11001,000000000000000;Bogotá;598,000000000000000;UTAM32
251;206017,898970999990000;11001,000000000000000;Bogotá;699,000000000000000;UTAM50
252;211503,021685999990000;11001,000000000000000;Bogotá;597,000000000000000;UTAM34
253;154635,710411000010000;11001,000000000000000;Bogotá;596,000000000000000;UTAM34
254;362799,474419999980000;11001,000000000000000;Bogotá;640,000000000000000;UTAM50
